"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TNFRSF21",1.68610289735323e-19,-0.391274194235081,0.262,0.414,6.87002625526573e-15
"LRMDA",1.7356279397781e-19,-1.01933141564282,0.05,0.167,7.07181604062589e-15
"CRLF3",1.80382665067714e-19,-0.439053014836485,0.825,0.82,7.34969168818401e-15
"TTC39B",2.02055698011794e-19,-0.494517986055254,0.426,0.569,8.23275941549053e-15
"CENPT",2.0587371969019e-19,-0.304615369453521,0.281,0.43,8.3883247087768e-15
"NMNAT3",2.10646378607872e-19,0.340014184737867,0.662,0.524,8.58278669637775e-15
"FBXW4",2.11144059896786e-19,0.267806170070191,0.802,0.691,8.60306472049456e-15
"PROX1-AS1",2.21111621168671e-19,-0.370233715531588,0.009,0.108,9.00919300451752e-15
"CDH9",2.42768685060696e-19,-0.867291636759967,0.708,0.741,9.89161007279807e-15
"SCHIP1",2.43274576267412e-19,-0.659884719986661,0.646,0.703,9.91222261001569e-15
"RFX3",2.45884859431241e-19,-0.466542743807808,0.972,0.894,1.00185785975259e-14
"SLC38A11",2.71395024258056e-19,-0.894028837728931,0.056,0.175,1.10579902633945e-14
"TXN",2.89879585152532e-19,-0.303259030940092,0.267,0.415,1.18111436970399e-14
"LINC01202",2.90019767354035e-19,-0.371360632431627,0.012,0.113,1.18168554208402e-14
"NBPF15",2.920892937334e-19,0.30098448526137,0.571,0.43,1.19011782731674e-14
"P4HA3",2.97752256299313e-19,-0.259877347794503,0.082,0.213,1.21319156829155e-14
"SLC25A21",3.13827957974231e-19,-0.267182495929185,0.075,0.211,1.278692014766e-14
"ZNF33A",3.14058658086443e-19,0.287692504494466,0.771,0.64,1.27963200237321e-14
"TTC21B",3.56521998737442e-19,0.251492824908978,0.849,0.73,1.45264888385571e-14
"MYRFL",3.81315422245908e-19,-0.347595305403969,0.066,0.191,1.55366968794095e-14
"ZFAND6",4.02169121043429e-19,0.327917690217061,0.522,0.381,1.63863808369145e-14
"SLC8B1",4.16378613718185e-19,-0.385337716710421,0.134,0.271,1.69653466159474e-14
"C1orf216",4.21098733980575e-19,-0.274326585685164,0.192,0.34,1.71576679160385e-14
"AVEN",4.36283636276869e-19,0.318358754312052,0.452,0.31,1.7776376760101e-14
"ARHGAP15",4.40965686271047e-19,-0.352706807308482,0.015,0.117,1.79671468871138e-14
"NEAT1",4.44592009652497e-19,-1.0057492959567,0.161,0.305,1.8114901433291e-14
"GRIN2D",4.52777571769892e-19,-0.347839189054081,0.116,0.253,1.84484221617642e-14
"MARCHF2",4.71833794341082e-19,-0.266598722513266,0.188,0.336,1.92248679504274e-14
"CCDC88C",5.27771850005842e-19,0.25150717814795,0.301,0.173,2.15040640284881e-14
"CEP57",5.61823174774492e-19,0.270500322634388,0.832,0.718,2.28914852561867e-14
"PHC1",6.21550155139174e-19,0.255021254988747,0.59,0.438,2.53250610711456e-14
"DIRC3",6.25792738749183e-19,-0.654990553982485,0.512,0.652,2.54979251403355e-14
"LINC02762",6.27716541679266e-19,-0.283030396664324,0.141,0.285,2.55763104907217e-14
"REPS1",6.35672324861821e-19,0.251841744191164,0.907,0.83,2.59004688764949e-14
"RASSF4",7.18198158109867e-19,-0.261039998430621,0.139,0.28,2.92629839521865e-14
"NPY1R",7.21397588035859e-19,-0.47549981571254,0.309,0.465,2.93933447245211e-14
"AMDHD2",7.46657904072798e-19,-0.278666093429086,0.178,0.323,3.04225763014461e-14
"TAF7L",7.72471225193311e-19,-0.255841324359672,0.064,0.189,3.14743400705015e-14
"LRRC34",7.82836107152817e-19,0.274132539860964,0.423,0.283,3.18966571859415e-14
"URI1",7.98546371322398e-19,-0.412633911321154,0.72,0.802,3.25367718995311e-14
"PAPPA2",8.82568047309061e-19,-0.629003619491329,0.071,0.2,3.59602350876077e-14
"CHGA",8.95992000096368e-19,-0.424930339381869,0.241,0.382,3.65071940439265e-14
"KCNMB4",9.75779223913596e-19,-0.771636986810637,0.573,0.671,3.97581244783595e-14
"C9orf135",9.77047386019668e-19,-0.2712154440131,0.009,0.105,3.98097957433714e-14
"EFHD2",1.01034592171625e-18,-0.505835224915097,0.187,0.325,4.11665445803287e-14
"ELL2",1.14275278267284e-18,-0.433317337119939,0.374,0.528,4.6561462130005e-14
"NACA",1.27321740237922e-18,-0.489045999018096,0.439,0.555,5.18772430599415e-14
"AHCYL1",1.27549237677892e-18,0.259498467492647,0.736,0.586,5.19699368918573e-14
"ENDOD1",1.29392569214586e-18,0.2529081852192,0.472,0.323,5.27210023264832e-14
"UQCR11",1.31790430563459e-18,-0.300754522795436,0.278,0.425,5.36980109330813e-14
"MTMR8",1.37386115419694e-18,0.303965359756024,0.353,0.224,5.59779727277542e-14
"BMS1P2",1.38456309596312e-18,-0.299643577738811,0.366,0.52,5.64140233450174e-14
"BACH2",1.40822652145827e-18,0.724349910286617,0.766,0.723,5.73781896168174e-14
"SOX9-AS1",1.46493890746944e-18,0.458439436150786,0.214,0.114,5.96889357848423e-14
"ABLIM3",1.54641368219829e-18,0.43596242358791,0.649,0.529,6.30086254811691e-14
"SH2D3C",1.75360060266032e-18,-0.277646321106196,0.157,0.299,7.14504565553946e-14
"COX5B",1.96694491955646e-18,-0.296674761257275,0.272,0.415,8.01431707473281e-14
"EYA4",2.0498863653899e-18,0.351833415369392,0.26,0.14,8.35226199578114e-14
"WDR35",2.10026989360025e-18,0.281209749768357,0.645,0.511,8.55754968147422e-14
"COL21A1",2.15114455284028e-18,-0.918592386004572,0.191,0.33,8.76483848054772e-14
"RELN",2.43978442042697e-18,-1.85565437874217,0.182,0.316,9.94090162102968e-14
"ZNF345",2.46111662892447e-18,0.282058251740651,0.587,0.455,1.00278197045528e-13
"RPS28",2.53139499847043e-18,-0.323386658608207,0.473,0.597,1.03141689212678e-13
