"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DAPK1",0,0.571618598371223,0.905,0.651,0
"DARS1",0,0.278805676978229,0.549,0.34,0
"DCAF10",0,0.356408284979463,0.835,0.577,0
"DCAF5",0,0.429101155716776,0.859,0.592,0
"DCAF6",0,0.456806921882115,0.929,0.677,0
"DCAF7",0,0.296393580740195,0.676,0.485,0
"DCLK1",0,0.43560016297515,0.995,0.902,0
"DCLK2",0,0.473475270495731,0.972,0.749,0
"DCP1A",0,0.367291713866859,0.679,0.446,0
"DCP1B",0,0.360808444038444,0.566,0.327,0
"DCSTAMP",0,0.755414227097396,0.317,0.083,0
"DCTN5",0,0.334009123108124,0.671,0.45,0
"DCUN1D2",0,0.283643461427992,0.651,0.438,0
"DCUN1D4",0,0.425520612119333,0.875,0.595,0
"DCX",0,0.347942628688218,0.539,0.343,0
"DDHD1",0,0.332767796367328,0.877,0.614,0
"DDX10",0,0.459227348883089,0.862,0.59,0
"DDX17",0,0.44477531517135,0.967,0.732,0
"DDX39B",0,0.283031440364169,0.56,0.342,0
"DDX46",0,0.285740417775447,0.728,0.51,0
"DDX5",0,0.28009835813917,0.934,0.678,0
"DDX58",0,0.332173112503667,0.425,0.246,0
"DEAF1",0,0.39760726886449,0.688,0.438,0
"DENND1A",0,0.523835749176189,0.97,0.765,0
"DENND1B",0,0.349332328171949,0.844,0.587,0
"DENND3",0,0.252549129460599,0.652,0.443,0
"DENND4A",0,0.428721694723854,0.936,0.694,0
"DENND4C",0,0.470388683455836,0.759,0.485,0
"DENND5A",0,0.271764305787751,0.723,0.52,0
"DENND5B",0,0.410841770010853,0.929,0.712,0
"DENND6A",0,0.376565914924347,0.773,0.507,0
"DENND6B",0,0.31918793198914,0.631,0.436,0
"DEPDC5",0,0.319768697604112,0.577,0.366,0
"DGCR2",0,0.308478009672168,0.666,0.46,0
"DGKB",0,0.696837295023503,0.974,0.734,0
"DGKG",0,0.690657454558692,0.771,0.589,0
"DGKI",0,0.333901938039771,0.982,0.787,0
"DGKZ",0,0.337812533582715,0.832,0.622,0
"DGLUCY",0,0.38089507890318,0.573,0.352,0
"DHX15",0,0.323568406042077,0.711,0.474,0
"DHX30",0,0.273232971093994,0.688,0.486,0
"DHX36",0,0.367574498667958,0.78,0.477,0
"DHX57",0,0.265789378293314,0.646,0.451,0
"DHX8",0,0.325394819183189,0.528,0.332,0
"DHX9",0,0.264900096699797,0.696,0.484,0
"DIAPH1",0,0.277524139360015,0.687,0.475,0
"DIAPH2",0,0.632424756082244,0.905,0.689,0
"DICER1",0,0.33464912875316,0.846,0.603,0
"DIDO1",0,0.260449494824114,0.684,0.475,0
"DIP2A",0,0.310294846878199,0.641,0.433,0
"DIP2C",0,0.708753803185273,0.973,0.789,0
"DIPK1A",0,0.56775721464273,0.872,0.512,0
"DIPK2A",0,0.613368779525405,0.637,0.326,0
"DIRC3",0,0.542564587272142,0.868,0.594,0
"DIS3L2",0,0.344920854996805,0.844,0.607,0
"DISP1",0,0.879628895740444,0.681,0.32,0
"DIXDC1",0,0.514176590696723,0.679,0.433,0
"DKK3",0,0.335577254550909,0.852,0.621,0
"DLC1",0,1.02148986408078,0.669,0.447,0
"DLG2",0,0.527367395435704,1,0.984,0
"DLGAP1",0,0.472572803545247,1,0.976,0
"DLGAP2",0,0.423072768083707,0.997,0.591,0
"DLGAP3",0,0.305857290719983,0.729,0.531,0
"DLGAP4",0,0.461100080985799,0.871,0.672,0
"DMD",0,1.08250795913972,0.992,0.925,0
"DMTF1",0,0.420459978817644,0.826,0.545,0
"DMXL1",0,0.3524362210159,0.918,0.671,0
"DMXL2",0,0.549319327912376,0.939,0.71,0
"DNAAF1",0,0.388124502983304,0.44,0.246,0
"DNAAF4",0,0.405934302894364,0.699,0.424,0
"DNAH14",0,0.448282436701249,0.887,0.639,0
"DNAH6",0,0.608771441523883,0.893,0.619,0
"DNAH7",0,0.355857892375943,0.839,0.604,0
"DNAH9",0,0.386488924157943,0.652,0.438,0
"DNAJB14",0,0.28588376019159,0.856,0.619,0
"DNAJC13",0,0.321531100317827,0.691,0.471,0
"DNAJC27-AS1",0,0.442801344907825,0.595,0.342,0
"DNAJC5",0,0.362696233019369,0.685,0.479,0
"DNAJC5G",0,0.391901711265994,0.391,0.207,0
"DNAJC6",0,0.52059117961005,0.966,0.738,0
"DNAJC9",0,0.456285500385508,0.638,0.405,0
"DNER",0,0.617449536574319,0.843,0.571,0
"DNHD1",0,0.320958770324732,0.641,0.436,0
"DNM1",0,0.500017555510775,0.974,0.788,0
"DNM1L",0,0.39644948637094,0.891,0.643,0
"DNM2",0,0.388635836873292,0.669,0.457,0
"DNM3",0,0.547839574828418,0.934,0.769,0
"DNMT3A",0,0.66423369977941,0.866,0.636,0
"DOCK11",0,0.556718113750663,0.385,0.178,0
"DOCK3",0,0.510559504139266,0.997,0.918,0
"DOCK4",0,0.586176478914124,0.972,0.853,0
"DOCK7",0,0.452613190182236,0.871,0.616,0
"DOCK9",0,0.354103018688628,0.935,0.744,0
"DOK5",0,0.586703534804273,0.774,0.55,0
"DOK6",0,1.08200810430123,0.977,0.825,0
"DOP1A",0,0.640963715347089,0.917,0.527,0
"DOP1B",0,0.444439700785884,0.723,0.432,0
"DPH6-DT",0,0.606669854261657,0.718,0.417,0
"DPM1",0,0.255924847445989,0.617,0.409,0
"DPP10",0,0.813003548642887,0.951,0.809,0
"DPP6",0,0.391036919663942,0.987,0.85,0
"DPY19L1P1",0,0.404355320245778,0.789,0.444,0
"DPY19L2",0,0.498787864546997,0.842,0.579,0
"DPY19L2P1",0,0.450638849954872,0.907,0.58,0
"DPYD",0,0.740043188560015,0.985,0.911,0
"DPYSL2",0,0.464743432125016,0.968,0.793,0
"DPYSL5",0,0.378184786848945,0.517,0.308,0
"DRAIC",0,0.467055602815239,0.55,0.337,0
"DROSHA",0,0.316873712134329,0.686,0.462,0
"DSE",0,0.295385643817428,0.745,0.515,0
"DSEL",0,0.444946940808806,0.562,0.284,0
"DSP",0,0.286288209966085,0.231,0.079,0
"DST",0,0.642414357760399,0.993,0.89,0
"DSTYK",0,0.296162005874467,0.65,0.448,0
"DTD1",0,0.476819661250912,0.732,0.444,0
"DTNA",0,0.584693329015908,0.98,0.808,0
"DTNB",0,0.525417824987192,0.971,0.765,0
"DTWD1",0,0.254101025156824,0.827,0.563,0
"DUBR",0,0.675908994577644,0.797,0.455,0
"DYM",0,0.443800930673251,0.942,0.683,0
"DYNC1H1",0,0.28974700737522,0.896,0.73,0
"DYNC1I1",0,0.433844863305716,0.982,0.798,0
"DYNC1I2",0,0.407209301810857,0.892,0.648,0
"DYNC2H1",0,0.401812130909176,0.901,0.654,0
"DYNC2LI1",0,0.309346341720219,0.799,0.538,0
"DYRK1A",0,0.447727574852214,0.928,0.668,0
"DZIP1",0,0.318517820340443,0.776,0.551,0
"E2F3",0,0.336353126058758,0.742,0.517,0
"ECHDC1",0,0.265075198814809,0.701,0.469,0
"ECHDC2",0,0.413154964484971,0.626,0.386,0
"ECPAS",0,0.497731690409689,0.912,0.54,0
"EDEM3",0,0.286289899479699,0.697,0.482,0
"EDIL3",0,0.843469805936937,0.957,0.679,0
"EDIL3-DT",0,0.724485746948749,0.678,0.329,0
"EEA1",0,0.307942778298725,0.72,0.502,0
"EEF1A2",0,0.258356897665619,0.655,0.446,0
"EEFSEC",0,0.362667874939432,0.576,0.334,0
"EFCAB2",0,0.344612866628529,0.713,0.498,0
"EFCAB6",0,0.40932581562158,0.768,0.52,0
"EFR3A",0,0.452345393232145,0.858,0.61,0
"EFR3B",0,0.310507402646048,0.828,0.624,0
"EGF",0,0.47989208530739,0.331,0.149,0
"EHBP1",0,0.580832522432174,0.971,0.772,0
"EHMT1",0,0.341860663300729,0.729,0.53,0
"EIF2AK2",0,0.326320187451217,0.67,0.465,0
"EIF2AK3",0,0.41166765209015,0.672,0.426,0
"EIF2AK4",0,0.374294138801728,0.708,0.465,0
"EIF2B3",0,0.428090436762268,0.752,0.511,0
"EIF3E",0,0.275891958612821,0.709,0.488,0
"EIF4E",0,0.250624626032685,0.673,0.463,0
"EIF4G3",0,0.537931320885458,0.987,0.855,0
"EIPR1",0,0.303749119306942,0.714,0.452,0
"ELAPOR1",0,0.74383088482762,0.823,0.445,0
"ELAPOR2",0,0.532457087167418,0.699,0.367,0
"ELAVL3",0,0.51440846608041,0.817,0.634,0
"ELF2",0,0.282758868092296,0.735,0.526,0
"ELMO1",0,0.430268005291631,0.844,0.667,0
"ELMOD1",0,0.43414650326995,0.902,0.676,0
"ELOA-AS1",0,0.312248713394927,0.559,0.335,0
"ELOVL4",0,0.268487446666298,0.674,0.463,0
"ELOVL6",0,0.410540921902413,0.746,0.507,0
"ELP1",0,0.336434305068911,0.716,0.442,0
"ELP4",0,0.490499384595402,0.83,0.564,0
"EMC3-AS1",0,0.267897213459218,0.339,0.173,0
"EML4",0,0.34862072305024,0.825,0.575,0
"EML5",0,0.739024563673182,0.867,0.594,0
"EML6",0,0.41044925591237,0.934,0.716,0
"EMSY",0,0.429579356244606,0.723,0.474,0
"ENAH",0,0.43131379959427,0.852,0.62,0
"ENOX1",0,0.392958330892947,0.974,0.849,0
"ENSA",0,0.395947638139617,0.872,0.619,0
"ENTPD1-AS1",0,0.470715802874211,0.738,0.448,0
"EP300",0,0.369180294207092,0.822,0.578,0
"EP400",0,0.280240806064547,0.794,0.587,0
"EP400P1",0,0.350303522308588,0.514,0.287,0
"EPB41L1",0,0.42388530897508,0.814,0.618,0
"EPB41L4B",0,0.322217795173589,0.883,0.644,0
"EPB41L5",0,0.253390801588908,0.76,0.547,0
"EPC1",0,0.354635772490647,0.904,0.639,0
"EPC2",0,0.376167959386317,0.771,0.514,0
"EPDR1",0,0.591362174858562,0.705,0.427,0
"EPG5",0,0.281790624428261,0.712,0.486,0
"EPHA5",0,0.770297220721758,0.891,0.755,0
"EPHA5-AS1",0,0.368050986712426,0.474,0.266,0
"EPHB2",0,0.47192874085289,0.507,0.331,0
"EPM2AIP1",0,0.265342719932121,0.662,0.457,0
"EPN2",0,0.500680218598581,0.821,0.603,0
"EPRS1",0,0.461857277760187,0.625,0.342,0
"EPS15",0,0.284096748228597,0.683,0.487,0
"EPS15L1",0,0.318672715943826,0.748,0.53,0
"ERBIN",0,0.507899440862265,0.762,0.507,0
"ERC1",0,0.699765946133339,0.987,0.825,0
"ERC2",0,0.57832340644934,0.997,0.936,0
"ERCC5",0,0.363760137984818,0.588,0.342,0
"ERCC6",0,0.359550589100705,0.588,0.373,0
"ERCC6L2",0,0.334342430823737,0.845,0.614,0
"ERCC8",0,0.351570160659814,0.744,0.501,0
"ERI3",0,0.375629843985747,0.765,0.531,0
"ERICH3",0,0.398334923285671,0.832,0.58,0
"ERO1A",0,0.296452055851112,0.601,0.393,0
"ERP44",0,0.271784532600051,0.774,0.532,0
"ERVK13-1",0,0.371989124802041,0.594,0.329,0
"ESCO1",0,0.252864693170663,0.684,0.463,0
"ESF1",0,0.355238013294263,0.824,0.548,0
"ESYT2",0,0.287212429106412,0.887,0.649,0
"ETFDH",0,0.331338947120985,0.684,0.446,0
"ETFRF1",0,0.320877871429929,0.522,0.318,0
"ETNK1",0,0.304067876720769,0.852,0.592,0
"ETV1",0,1.1451046056674,0.623,0.342,0
"EVI5",0,0.400629215570168,0.935,0.695,0
"EVL",0,0.389620103926822,0.922,0.686,0
"EWSR1",0,0.310438955885992,0.717,0.496,0
"EXOC1",0,0.269367834700554,0.782,0.547,0
"EXOC2",0,0.474363632669118,0.862,0.6,0
"EXOC4",0,0.67318856744505,0.984,0.799,0
"EXOC5",0,0.356954082076467,0.783,0.529,0
"EXOC6",0,0.441845868807508,0.945,0.718,0
"EXOC6B",0,0.533895670238405,0.986,0.824,0
"EXOG",0,0.294917548763779,0.656,0.43,0
"EXOSC3",0,0.29897358460977,0.481,0.278,0
"EXT1",0,0.29915308915368,0.953,0.735,0
"EXT2",0,0.321278015597607,0.794,0.558,0
"EYA3",0,0.522279532963136,0.831,0.546,0
"EZH1",0,0.327230864134206,0.649,0.44,0
"FAF1",0,0.558392057078359,0.975,0.773,0
"FAM110B",0,0.849210949198045,0.799,0.51,0
"FAM117A",0,0.309756242216241,0.43,0.243,0
"FAM117B",0,0.310387014939727,0.7,0.479,0
"FAM118A",0,0.384874046634407,0.514,0.279,0
"FAM120A",0,0.296643897165509,0.847,0.601,0
"FAM120B",0,0.465025257679557,0.86,0.533,0
"FAM126A",0,0.419719485200029,0.632,0.434,0
"FAM126B",0,0.461350909053432,0.898,0.633,0
"FAM133B",0,0.270239281646538,0.618,0.395,0
"FAM135A",0,0.379623447614955,0.914,0.678,0
"FAM135B",0,0.762539743570339,0.953,0.74,0
"FAM13A",0,0.896535946502162,0.793,0.547,0
"FAM13B",0,0.304562846672889,0.915,0.661,0
"FAM13C",0,0.647592179953153,0.832,0.574,0
"FAM151B",0,0.383499925644101,0.486,0.278,0
