"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ALG8",0,0.306999827293655,0.503,0.34,0
"ALK",0,-1.43075396442956,0.369,0.534,0
"ALKAL2",0,0.376898797462748,0.217,0.033,0
"ALMS1",0,0.462412032587471,0.833,0.702,0
"ALMS1P1",0,0.322725909931172,0.388,0.215,0
"ALOX12P2",0,0.380685732130227,0.683,0.49,0
"ALS2",0,0.416163063011189,0.771,0.605,0
"AMBRA1",0,0.509073493278,0.855,0.729,0
"AMDHD2",0,0.336262311123064,0.381,0.183,0
"AMMECR1",0,0.399518199752596,0.797,0.615,0
"AMN1",0,0.329515934601973,0.694,0.543,0
"AMOTL1",0,-0.414650069826287,0.245,0.409,0
"AMPH",0,1.27467397620262,0.962,0.728,0
"AMZ1",0,0.397770527260694,0.502,0.293,0
"AMZ2",0,0.527457471763367,0.634,0.396,0
"ANK1",0,-0.589915242407933,0.099,0.266,0
"ANK2",0,0.55408777868888,0.998,0.967,0
"ANK3",0,0.700333581206255,0.999,0.931,0
"ANKDD1A",0,0.32556284507288,0.646,0.481,0
"ANKDD1B",0,0.268772392996394,0.396,0.235,0
"ANKFY1",0,0.336169632209672,0.758,0.624,0
"ANKHD1",0,0.461953956811064,0.825,0.638,0
"ANKMY2",0,0.412328779134831,0.669,0.469,0
"ANKRD10",0,0.316018563145219,0.836,0.742,0
"ANKRD11",0,0.725302994133668,0.93,0.835,0
"ANKRD13C",0,0.441944066982075,0.873,0.751,0
"ANKRD17",0,0.530270487734258,0.974,0.932,0
"ANKRD18A",0,-0.518413706802964,0.067,0.282,0
"ANKRD18B",0,0.601672925205239,0.411,0.094,0
"ANKRD18CP",0,0.50965294737747,0.645,0.394,0
"ANKRD20A11P",0,1.57027503892427,0.588,0.283,0
"ANKRD20A3P",0,0.261825609945488,0.337,0.193,0
"ANKRD20A5P",0,1.02735126321231,0.532,0.221,0
"ANKRD23",0,0.351828329984134,0.537,0.386,0
"ANKRD24",0,0.44904567960796,0.424,0.187,0
"ANKRD26",0,0.440439290965193,0.93,0.83,0
"ANKRD27",0,0.455850425997051,0.572,0.344,0
"ANKRD28",0,0.537367297270318,0.939,0.847,0
"ANKRD29",0,0.435694726872485,0.436,0.284,0
"ANKRD30B",0,0.474776546065561,0.479,0.275,0
"ANKRD30BL",0,0.7188707273134,0.99,0.831,0
"ANKRD33B",0,1.37852490883345,0.789,0.248,0
"ANKRD34B",0,-0.48236218636889,0.029,0.15,0
"ANKRD34C-AS1",0,0.986760034127015,0.892,0.544,0
"ANKRD36",0,0.291068404857618,0.974,0.914,0
"ANKRD36BP2",0,0.440269120461057,0.623,0.364,0
"ANKRD36C",0,0.268504090950155,0.963,0.9,0
"ANKRD42",0,0.406898035703623,0.577,0.359,0
"ANKRD46",0,0.32990236241203,0.625,0.468,0
"ANKRD49",0,0.315591245391971,0.488,0.308,0
"ANKRD55",0,-1.06656630235828,0.111,0.484,0
"ANKRD62",0,0.313148227915637,0.147,0.023,0
"ANKRD7",0,0.611304436869978,0.744,0.482,0
"ANKS1B",0,0.450926033144805,0.999,0.962,0
"ANO10",0,0.444458524458023,0.862,0.722,0
"ANO3",0,1.09797633468627,0.873,0.501,0
"ANO4",0,0.453849336333159,0.859,0.712,0
"ANO5",0,0.593638387726966,0.893,0.713,0
"ANO6",0,0.388444862096786,0.659,0.457,0
"ANOS2P",0,0.615742317734563,0.799,0.544,0
"ANTKMT",0,0.365621626937109,0.479,0.285,0
"ANTXR2",0,0.943880168341293,0.3,0.074,0
"ANXA11",0,0.905905307948785,0.604,0.209,0
"ANXA4",0,0.376812358160599,0.422,0.277,0
"ANXA6",0,0.309138517912954,0.6,0.425,0
"ANXA7",0,0.472325188156103,0.774,0.584,0
"AOPEP",0,0.881763399176341,0.944,0.745,0
"AP1G2",0,0.409670878241949,0.577,0.393,0
"AP1M1",0,0.550938302569712,0.622,0.395,0
"AP1S1",0,0.303845420313422,0.443,0.268,0
"AP2A1",0,0.332057578498451,0.538,0.37,0
"AP2A2",0,0.635083230352701,0.819,0.626,0
"AP2B1",0,0.41831115150065,0.879,0.749,0
"AP3B1",0,0.371905409595676,0.741,0.59,0
"AP3B2",0,0.661276586504898,0.804,0.594,0
"AP3S1",0,0.447545022889395,0.834,0.653,0
"APBA1",0,0.686618833024007,0.953,0.853,0
"APBA2",0,0.976049677875882,0.891,0.688,0
"APBB2",0,0.741942809987483,0.963,0.836,0
"APC2",0,0.346803652626346,0.635,0.469,0
"APLF",0,0.503149139437318,0.429,0.208,0
"APOL2",0,0.371582514721981,0.366,0.141,0
"APP",0,0.390677151853467,0.985,0.943,0
"APTX",0,0.538105217433808,0.715,0.518,0
"AQP4-AS1",0,0.834474687614907,0.731,0.43,0
"ARF3",0,0.259158275988908,0.348,0.195,0
"ARFGEF1",0,0.52980578897259,0.924,0.829,0
"ARFGEF2",0,0.507460205809138,0.84,0.678,0
"ARFGEF3",0,0.675995313945542,0.962,0.845,0
"ARGLU1",0,0.567037378218961,0.951,0.9,0
"ARHGAP10",0,0.65545519143885,0.535,0.228,0
"ARHGAP12",0,-0.588646393509438,0.299,0.538,0
"ARHGAP17",0,0.457310241597119,0.682,0.51,0
"ARHGAP20",0,0.421473183293788,0.836,0.63,0
"ARHGAP21",0,0.487589205046433,0.955,0.887,0
"ARHGAP22",0,0.699478790937789,0.719,0.418,0
"ARHGAP26",0,1.10568859496782,0.988,0.862,0
"ARHGAP29",0,0.520801480618725,0.408,0.17,0
"ARHGAP32",0,0.930425218484535,0.982,0.893,0
"ARHGAP35",0,0.543672223191577,0.864,0.717,0
"ARHGAP39",0,0.31839991965407,0.509,0.352,0
"ARHGAP44",0,0.990373415891942,0.973,0.787,0
"ARHGAP5",0,0.332296888807603,0.851,0.739,0
"ARHGAP6",0,0.520028608966392,0.662,0.484,0
"ARHGEF11",0,0.664376595986406,0.867,0.716,0
"ARHGEF12",0,0.5737291580087,0.953,0.853,0
"ARHGEF18",0,0.364844757275066,0.447,0.255,0
"ARHGEF2",0,0.340367939860422,0.523,0.339,0
"ARHGEF28",0,1.4999188811588,0.847,0.379,0
"ARHGEF7",0,0.615136412327005,0.951,0.871,0
"ARHGEF9",0,0.393927982352037,0.892,0.78,0
"ARID1B",0,0.374395730517916,0.988,0.97,0
"ARID3A",0,0.282628063088355,0.341,0.181,0
"ARID3B",0,0.325998289937305,0.389,0.225,0
"ARID4A",0,0.302741967842575,0.874,0.774,0
"ARID4B",0,0.438722449023681,0.951,0.899,0
"ARID5B",0,0.557191703153258,0.858,0.627,0
"ARIH1",0,0.410738993543911,0.928,0.859,0
"ARL14EP",0,0.36472998345306,0.577,0.396,0
"ARL15",0,0.987088103708876,0.968,0.834,0
"ARL17B",0,0.810597317171825,0.639,0.586,0
"ARL4A",0,0.284102232583728,0.29,0.131,0
"ARMC2",0,0.545634070643874,0.882,0.687,0
"ARMC8",0,0.331952145707968,0.83,0.733,0
"ARMC9",0,0.83324972361903,0.873,0.631,0
"ARMCX5-GPRASP2",0,0.543018998056827,0.778,0.568,0
"ARMH1",0,0.548153665700372,0.565,0.33,0
"ARNT",0,0.34100604537691,0.704,0.556,0
"ARNT2",0,0.758155981270119,0.903,0.761,0
"ARNTL",0,0.35455280007225,0.544,0.37,0
"ARNTL2",0,0.843051070899421,0.742,0.379,0
"ARPC1A",0,0.405899648056644,0.606,0.394,0
"ARPC2",0,0.329889999564018,0.719,0.571,0
"ARPC5",0,0.284926370866899,0.506,0.353,0
"ARPP19",0,0.660191932271128,0.799,0.556,0
"ARPP21",0,1.26694581154956,0.986,0.673,0
"ARRB2",0,0.28558059932602,0.438,0.276,0
"ARRDC3-AS1",0,0.475612473953316,0.432,0.217,0
"ART3",0,0.354551708650548,0.246,0.058,0
"ARX",0,-0.441741058890537,0.007,0.194,0
"ASAH1",0,0.292242885586069,0.683,0.542,0
"ASB3",0,0.435241719890947,0.928,0.795,0
"ASB7",0,0.363306233923895,0.496,0.308,0
"ASCC1",0,0.319550885089846,0.661,0.518,0
"ASCC3",0,0.510385095505747,0.932,0.821,0
"ASH1L",0,0.513025141548998,0.971,0.937,0
"ASNS",0,0.334394326781881,0.651,0.481,0
"ASPHD1",0,0.347698799500619,0.597,0.406,0
"ASTN1",0,0.690853562349471,0.975,0.871,0
"ASXL2",0,0.306719794614477,0.762,0.628,0
"ASXL3",0,0.870568652902753,0.914,0.579,0
"ATCAY",0,0.410407677610587,0.821,0.651,0
"ATF1",0,0.329431064594344,0.551,0.384,0
"ATF2",0,0.37985680880253,0.821,0.688,0
"ATF7",0,0.323270549351546,0.586,0.407,0
"ATF7IP2",0,1.02868824374093,0.859,0.579,0
"ATG2B",0,0.313026887543521,0.793,0.663,0
"ATG4B",0,0.377149360159934,0.643,0.461,0
"ATG5",0,0.53673220449367,0.808,0.622,0
"ATG7",0,0.634184605813406,0.903,0.802,0
"ATL1",0,0.452243091740383,0.898,0.762,0
"ATP11B",0,0.446217130076979,0.802,0.646,0
"ATP11C",0,-0.519002967129898,0.135,0.329,0
"ATP1B3",0,0.354904814968834,0.819,0.651,0
"ATP2B1",0,0.671853365637177,0.983,0.865,0
"ATP2B1-AS1",0,0.396259524360322,0.433,0.208,0
"ATP2B4",0,1.16291341682422,0.96,0.679,0
"ATP2C1",0,0.544004449620925,0.928,0.806,0
"ATP6AP1L",0,0.429522993875313,0.664,0.513,0
"ATP6V0A1",0,0.446636836769397,0.914,0.802,0
"ATP6V1A",0,0.580657970169298,0.876,0.709,0
"ATP6V1C1",0,0.396800792521389,0.738,0.571,0
"ATP6V1E2",0,0.322944548878468,0.391,0.218,0
"ATP6V1G2",0,0.256852298781029,0.421,0.257,0
"ATP6V1H",0,1.57344593515505,0.962,0.75,0
"ATP7B",0,0.410025071035891,0.571,0.383,0
"ATP8A2",0,1.02023137819028,0.994,0.856,0
"ATP8B2",0,0.364180816439881,0.57,0.395,0
"ATP8B4",0,0.417231014001555,0.536,0.314,0
"ATP9A",0,0.527525890113835,0.934,0.811,0
"ATP9B",0,0.799913035444401,0.928,0.811,0
"ATPSCKMT",0,0.392229575503534,0.597,0.388,0
"ATR",0,0.49606723158734,0.876,0.726,0
"ATRN",0,0.418898442246432,0.869,0.754,0
"ATRNL1",0,1.15667988789291,0.993,0.86,0
"ATXN10",0,0.495056993617602,0.917,0.839,0
"ATXN2",0,0.418321540889122,0.946,0.886,0
"ATXN2L",0,0.306495169653716,0.589,0.434,0
"ATXN3",0,0.509817797002719,0.722,0.53,0
"ATXN7",0,0.649200340654741,0.833,0.6,0
"ATXN7L1",0,0.468671715264277,0.899,0.782,0
"AUH",0,0.341722678127874,0.854,0.736,0
"AUTS2",0,0.647933418609115,0.998,0.978,0
"AVIL",0,0.36201071665712,0.332,0.179,0
"AVL9",0,0.468910564698879,0.883,0.766,0
"AXIN1",0,0.378985724878024,0.468,0.276,0
"AZIN2",0,0.313105945726756,0.51,0.339,0
"B2M",0,-0.467196963803235,0.091,0.262,0
"B3GAT1",0,1.03338236613192,0.78,0.468,0
"B3GAT2",0,-0.590832044932803,0.256,0.417,0
"B3GLCT",0,0.372031682970118,0.591,0.363,0
"B3GNTL1",0,0.302066526759994,0.421,0.251,0
"B4GALNT1",0,0.4222320887806,0.575,0.348,0
"B4GALNT3",0,1.05933708582672,0.687,0.271,0
"B4GALNT4",0,0.332313733694571,0.638,0.465,0
"B4GALT5",0,0.447775803590811,0.775,0.602,0
